184,193,192,213,194
186,194,193,210,194
186,194,192,207,192
187,194,192,209,194
185,194,192,211,194
186,194,193,212,193
187,193,194,211,193
187,195,193,212,196
186,193,194,212,192
185,194,193,213,197
186,193,194,213,198
187,194,193,213,194
186,192,195,213,195
186,193,195,214,195
186,193,195,214,195
185,195,196,215,193
184,194,195,213,194
184,195,196,213,195
182,195,195,212,195
183,195,196,212,194
181,195,196,212,194
182,194,196,212,194
181,196,197,210,196
184,196,197,212,195
183,195,199,212,194
182,196,197,212,195
183,196,197,212,195
182,195,198,212,194
182,196,198,212,193
181,197,197,211,196
181,196,198,213,195
182,196,196,212,194
181,194,199,211,192
181,196,197,211,196
181,196,198,210,194
182,195,198,210,195
182,195,197,207,194
182,196,198,213,195
182,195,198,213,193
182,195,198,212,192
184,195,198,211,192
182,197,198,208,192
183,195,198,211,193
183,196,199,211,191
182,195,199,211,191
183,195,199,216,192
